,movieCd,movieNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,companyNm
2604,20157531,판타스틱 4,100,12세이상관람가,마일즈 텔러,케이트 마라,제이미 벨,이십세기폭스코리아(주)
2605,20050145,판타스틱4,105,,제시카 알바,줄리안 맥마흔,,마블 엔터테인먼트
2606,20156807,뽀로로 극장판 컴퓨터 왕국 대모험,62,전체관람가,이선,이미자,함수정,(주)오콘
2607,20148553,내 심장을 쏴라,102,15세이상관람가,이민기,여진구,유오성,(주)주피터필름
2608,20136057,소수의견,127,15세이상관람가,윤계상,유해진,김옥빈,(주)하리마오픽쳐스
2609,20147613,그레이의 50가지 그림자,125,청소년관람불가,제이미 도넌,다코타 존슨,제니퍼 엘,유니버설픽쳐스인터내셔널 코리아(유)
2610,20163321,미스터 홈즈,104,12세이상관람가,이안 맥켈런,로라 린니,마일로 파커,(주)프레인글로벌
2611,20150470,라스트 홈,113,15세이상관람가,앤드류 가필드,마이클 섀넌,로라 던,(주)브리즈픽처스
2612,20155826,치외법권,104,15세이상관람가,임창정,최다니엘,임은경,(주)유니프로
2613,20143754,아메리칸 스나이퍼,132,청소년관람불가,브래들리 쿠퍼,시에나 밀러,,워너브러더스 코리아(주)
2614,20151421,에베레스트,121,12세이상관람가,제이슨 클락,조슈 브롤린,키이라 나이틀리,유니버설픽쳐스인터내셔널 코리아(유)
2615,20149401,스폰지밥 3D,92,전체관람가,안토니오 반데라스,클랜시 브라운,톰 케니,씨제이이앤엠(주)
2616,20157501,극적인 하룻밤,107,청소년관람불가,윤계상,한예리,박효주,(주)연우무대
2617,20151815,뮨: 달의 요정,85,전체관람가,조슈아 J. 발라드,오마 사이,,씨네그루(주)다우기술
2618,20140144,도리화가,109,12세이상관람가,류승룡,배수지,송새벽,(주)영화사 담담
2619,20149037,주피터 어센딩,127,12세이상관람가,밀라 쿠니스,채닝 테이텀,숀 빈,워너브러더스 코리아(주)
2620,20144523,패딩턴,95,전체관람가,니콜 키드먼,벤 위쇼,휴 보네빌,롯데쇼핑㈜롯데엔터테인먼트
2621,20155881,오즈의 마법사: 돌아온 도로시,92,전체관람가,레아 미셸,패트릭 스튜어트,휴 댄시,(주)박수엔터테인먼트
2622,20157041,런 올 나이트,115,청소년관람불가,리암 니슨,조엘 킨나만,에드 해리스,워너브러더스 코리아(주)
2623,20100211,다이노 타임,85,전체관람가,멜라니 그리피스,제인 린치,윌리엄 볼드윈,주식회사 토이온
2624,20144461,인서전트,119,15세이상관람가,쉐일린 우들리,테오 제임스,케이트 윈슬렛,롯데쇼핑㈜롯데엔터테인먼트
2625,20156161,백 투 더 비기닝,106,15세이상관람가,조니 웨스턴,소피아 블랙 디엘리아,샘 러너,롯데쇼핑㈜롯데엔터테인먼트
2626,20159748,투모로우랜드,130,12세이상관람가,조지 클루니,휴 로리,브릿 로버트슨,월트 디즈니 픽쳐스
2627,20143510,함정,96,청소년관람불가,마동석,조한선,김민경,(주)데이드림 엔터테인먼트
2628,20134207,벨벳키스-함정에 빠진 소악마,71,청소년관람불가,,,,(주)도키엔터테인먼트
2629,20149948,언브로큰,137,15세이상관람가,잭 오코넬,돔놀 글리슨,가렛 헤드룬드,유니버설픽쳐스인터내셔널 코리아(유)
2630,20141602,소셜포비아,102,15세이상관람가,변요한,이주승,하윤경,한국영화아카데미
2631,20155101,하늘을 걷는 남자,123,12세이상관람가,조셉 고든 레빗,벤 킹슬리,샬롯 르 본,유니버설픽쳐스인터내셔널 코리아(유)
2632,20142962,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,98,전체관람가,,,,롯데쇼핑㈜롯데엔터테인먼트
2633,20144442,조선마술사,123,12세이상관람가,유승호,고아라,곽도원,위더스필름(주)
2634,20157175,괴물의 아이,119,12세이상관람가,야쿠쇼 코지,미야자키 아오이,소메타니 쇼타,CGV아트하우스
2635,20158704,언프렌디드: 친구삭제,82,15세이상관람가,샐리 헤닝,모세 제이콥 스톰,윌 펠츠,유니버설픽쳐스인터내셔널 코리아(유)
2636,20149062,연애의 맛,101,청소년관람불가,오지호,최령,강예원,(주)청우필름
2637,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,80,전체관람가,,,,(주)이수C&E
2638,20144801,버드맨,119,청소년관람불가,마이클 키튼,에드워드 노튼,엠마 스톤,이십세기폭스코리아(주)
2639,20144621,기생수 파트1,110,청소년관람불가,소메타니 쇼타,후카츠 에리,하시모토 아이,판씨네마(주)
2640,20155277,더 셰프,101,15세이상관람가,브래들리 쿠퍼,시에나 밀러,오마 사이,(주)이수C&E
2641,20161263,헌팅 더 팬텀,91,15세이상관람가,크리스타나 로켄,아만드 아산테,,(주)콘텐츠윙
2642,20150562,팬,111,전체관람가,휴 잭맨,가렛 헤드룬드,루니 마라,워너브러더스 코리아(주)
2643,20152742,노팬티 카페의 여자,62,청소년관람불가,하즈키 노조미,,,(주)엘케이픽쳐스
2644,20157903,젖은 팬티의 은밀한 유혹,58,청소년관람불가,호조 마키,,,(주)콘텐츠랩자박
2645,20163661,레전드 오브 타잔,110,12세이상관람가,알렉산더 스카스가드,마고 로비,크리스토프 왈츠,워너브러더스 코리아(주)
2646,20164698,헌팅 더 레전드,95,15세이상관람가,크리스토퍼 코프랜드,한나 월러스,,주식회사 루믹스미디어
2647,20163667,드라큘라 레전드,93,15세이상관람가,미치 포웰,패트리시아 두아르테,,(주)케이알씨지
2648,20155202,레전드,132,청소년관람불가,톰 하디,태런 에저튼,에밀리 브라우닝,(주)이수C&E
2649,20153037,라이즈 오브 더 레전드: 황비홍,132,15세이상관람가,펑위옌,안젤라 베이비,홍금보,(주)영화사 빅
2650,20150242,드래곤 킹 레전드,87,12세이상관람가,크리스토퍼 저지,링 바이,,스크린조이
2651,20153201,트랜스포터: 리퓰드,86,15세이상관람가,에드 스크레인,론 샤바놀,,씨네그루(주)다우기술
2652,20020168,센과 치히로의 행방불명,126,전체관람가,이리노 미유,,,씨네그루(주)다우기술
2653,20150752,스누피: 더 피너츠 무비,93,전체관람가,,,,이십세기폭스코리아(주)
2654,20156441,최강전사 미니특공대 : 새로운 악당의 습격,62,전체관람가,엄상현,전태열,신용우,(주)삼지애니메이션
