,movieCd,movieNm,director,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyNm
3300,20142561,7번째 아들,세르게이 보드로프,2014,20150211,장편,미국,어드벤처,로스 필름
3301,20158062,숀더쉽,마크 버튼,2015,20150813,장편,영국,애니메이션,로스 필름
3302,20145102,포커스,글렌 피카라,2014,20150226,장편,미국,코미디,로스 필름
3303,20153022,더 매직: 리틀톰과 도둑공주,어네스토 파드롱,2014,20150924,장편,스페인,애니메이션,로스 필름
3304,20152869,갤로우즈,트래비스 클러프,2015,20150903,장편,미국,공포(호러),로스 필름
3305,20145085,세인트 빈센트,데오도르 멜피,2014,20150305,장편,미국,코미디,로스 필름
3306,20144507,빅 아이즈,팀 버튼,2014,20150128,장편,미국,드라마,로스 필름
3307,20145041,더 이퀄라이저,안톤 후쿠아,2014,20150128,장편,미국,액션,로스 필름
3308,20151782,지금은맞고그때는틀리다,홍상수,2015,20150924,장편,한국,드라마,(주)영화제작전원사 
3309,20145521,엑스 마키나,알렉스 가랜드,2014,20150121,장편,미국,SF,(주)영화제작전원사 
3310,20145242,모데카이,데이빗 코엡,2015,20150218,장편,미국,액션,(주)영화제작전원사 
3311,20150522,러덜리스,윌리엄 H. 머시,2014,20150709,장편,미국,코미디,(주)영화제작전원사 
3312,20141060,쓰리 썸머 나잇,김상진,2014,20150715,장편,한국,코미디,더램프(주)
3313,20144481,타임 패러독스,마이클 스피어리그,2014,20150107,장편,호주,SF,더램프(주)
3314,19980024,생과부 위자료 청구소송,강우석,1998,19980801,장편,한국,드라마,(주)시네마서비스
3315,20156977,위자,스틸즈 화이트,2014,20150416,장편,미국,미스터리,(주)시네마서비스
3316,19710080,위자료,김수용,1971,19710306,장편,한국,멜로/로맨스,보한산업
3317,20156301,다크 플레이스,질스 파겟-브레너,2015,20150715,장편,미국,드라마,보한산업
3318,20157096,보루토 - 나루토 더 무비,야마시타 히로유키,2015,20151210,장편,일본,애니메이션,보한산업
3319,20158561,기생수 파트2,야마자키 타카시,2015,20150507,장편,일본,SF,보한산업
3320,20158670,위아영,노아 바움백,2014,20150514,장편,미국,코미디,보한산업
3321,20156383,아더와 미니모이 3: 두 세계의 전쟁,뤽 베송,2010,20151105,장편,프랑스,애니메이션,보한산업
3322,20154621,주온: 더 파이널,오치아이 마사유키,2015,20151001,장편,일본,공포(호러),보한산업
3323,20156275,파더 앤 도터,가브리엘 무치노,2015,20151210,장편,미국,드라마,보한산업
3324,20156704,드래곤 블레이드,이인항,2015,20150312,장편,중국,액션,보한산업
3325,20153025,대니 콜린스,댄 포겔맨,2015,20150930,장편,미국,드라마,보한산업
3326,20145103,나이트 크롤러,댄 길로이,2014,20150226,장편,미국,범죄,보한산업
3327,20150862,더 랍스터,요르고스 란티모스,2015,20151029,장편,영국,판타지,(주)미디어캐슬
3328,20156360,개구리왕국,넬슨 신,2014,20151112,장편,중국,애니메이션,(주)미디어캐슬
3329,20158885,이웃집에 신이 산다,자코 반 도마엘,2015,20151224,장편,벨기에,코미디,(주)미디어캐슬
3330,20156241,더 라스트: 나루토 더 무비,코바야시 츠네오,2014,20150226,장편,일본,애니메이션,(주)미디어캐슬
3331,20155601,바다 탐험대 옥토넛 스페셜,니키 팰런,2013,20150205,장편,영국,애니메이션,(주)미디어캐슬
3332,20155639,더 비지트,M. 나이트 샤말란,2015,20151015,장편,미국,스릴러,(주)미디어캐슬
3333,20156102,바닷마을 다이어리,고레에다 히로카즈,2015,20151217,장편,일본,드라마,(주)미디어캐슬
3334,20149961,미안해 사랑해 고마워,전윤수,2015,20151028,장편,한국,드라마,타임박스엔터테인먼트(주)
3335,20031141,완전한 사육 4: 비밀의 지하실,미즈타니 토시유키,2003,20150923,장편,일본,드라마,(주)영화사거미
3336,20163045,미나미 양장점의 비밀,미시마 유키코,2015,20160519,장편,일본,드라마,(주)영화사거미
3337,20157197,라스트 위치 헌터,브렉 에이즈너,2015,20151230,장편,미국,액션,(주)영화사거미
3338,20154162,스트레이트 아웃 오브 컴턴,F. 게리 그레이,2015,20150910,장편,미국,드라마,(주)영화사거미
3339,20157121,송 원,케이트 베커-플로이랜드,2014,20150401,장편,미국,드라마,(주)영화사거미
3340,20154729,이스케이프,존 에릭 도들,2015,20151105,장편,미국,액션,(주)영화사거미
3341,20142884,엘리노어 릭비: 그 남자 그 여자,네드 벤슨,2014,20150409,장편,미국,드라마,(주)영화사거미
3342,20156570,크림슨 피크,길예르모 델 토로,2015,20151125,장편,미국,판타지,(주)영화사거미
3343,20141085,한 번 더 해피엔딩,마크 로렌스,2014,20150408,장편,미국,멜로/로맨스,(주)영화사거미
